time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,20.0,0.0,10,24879.664723255344
2.0,40.861399076380074,11.0,10,24868.664723255344
3.0,65.49227180353905,11.0,10,24868.664723255344
4.0,88.13287430782327,18.0,10,24861.664723255344
5.0,120.91819721532906,18.0,10,24861.664723255344
6.0,144.7310570723903,23.0,10,24856.664723255344
7.0,179.124207523368,23.0,10,24856.664723255344
8.0,203.43742205654536,27.0,10,24852.664723255344
9.0,238.63109010646087,28.0,10,24851.664723255344
10.0,262.965746403463,31.0,10,24848.664723255344
11.0,298.9417518512458,31.0,10,24848.664723255344
12.0,323.95336729956557,34.0,10,24845.664723255344
13.0,360.18371995440435,35.0,10,24844.664723255344
14.0,385.47081274281624,37.0,10,24842.664723255344
15.0,421.1891847959738,39.0,10,24840.664723255344
16.0,446.5848376585575,40.0,10,24839.664723255344
17.0,482.4658043039055,40.0,10,24839.664723255344
18.0,507.89980539196404,42.0,10,24837.664723255344
19.0,543.4659110459625,42.0,10,24837.664723255344
20.0,569.3345129518531,43.0,10,24836.664723255344
21.0,604.5087393599069,44.0,10,24835.664723255344
22.0,630.8906027710923,47.0,10,24832.664723255344
23.0,665.3127091194273,49.0,10,24830.664723255344
24.0,692.0472128031543,51.0,10,24828.664723255344
25.0,726.3834314010828,51.0,10,24828.664723255344
26.0,753.6474134755093,51.0,10,24828.664723255344
27.0,788.1367631120878,51.0,10,24828.664723255344
28.0,815.5050051356804,51.0,10,24828.664723255344
29.0,850.0650646805292,51.0,10,24828.664723255344
30.0,877.9845067707539,51.0,10,24828.664723255344
31.0,912.0824003128408,52.0,10,24827.664723255344
32.0,939.7200613967816,53.0,10,24826.664723255344
33.0,973.3336548847232,53.0,10,24826.664723255344
34.0,1000.7946349007052,54.0,10,24825.664723255344
35.0,1034.3896275004363,57.0,10,24822.664723255344
36.0,1062.484225769449,57.0,10,24822.664723255344
37.0,1096.2016992250249,58.0,10,24821.664723255344
38.0,1124.5678516271182,59.0,10,24820.664723255344
39.0,1157.856189736674,59.0,10,24820.664723255344
40.0,1185.9960820916526,59.0,10,24820.664723255344
41.0,1219.125250630102,59.0,10,24820.664723255344
42.0,1247.1142209213126,59.0,10,24820.664723255344
43.0,1280.1146804771604,59.0,10,24820.664723255344
44.0,1308.201371592822,60.0,10,24819.664723255344
45.0,1340.7675800564105,60.0,10,24819.664723255344
46.0,1368.9741982324385,61.0,10,24818.664723255344
47.0,1401.4458743632747,63.0,10,24816.664723255344
48.0,1429.271118743007,63.0,10,24816.664723255344
49.0,1461.4860648491765,65.0,10,24814.664723255344
50.0,1489.9710818308674,67.0,10,24812.664723255344
51.0,1521.736142881881,68.0,10,24811.664723255344
52.0,1550.2288652873303,69.0,10,24810.664723255344
53.0,1581.6867346243293,70.0,10,24809.664723255344
54.0,1610.3065385479883,72.0,10,24807.664723255344
55.0,1641.410563662427,73.0,10,24806.664723255344
56.0,1670.3342179113226,74.0,10,24805.664723255344
57.0,1701.8898442000075,74.0,10,24805.664723255344
58.0,1730.7257495473107,75.0,10,24804.664723255344
