time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,0.0,75,2543.833140544804
2.0,1.0602740421301278,0.0,75,2543.833140544804
3.0,1.820431962928262,0.0,75,2543.833140544804
4.0,2.7595764369377616,0.0,75,2543.833140544804
5.0,3.775742369333792,0.0,75,2543.833140544804
6.0,5.014873808242626,0.0,75,2543.833140544804
7.0,6.419039966841897,1.0,75,2542.833140544804
8.0,7.60991965344655,1.0,75,2542.833140544804
9.0,8.479432322514379,1.0,75,2542.833140544804
10.0,9.414612435035298,2.0,75,2541.833140544804
11.0,10.322610357302048,2.0,75,2541.833140544804
12.0,11.303692935389451,2.0,75,2541.833140544804
13.0,12.250508031897164,2.0,75,2541.833140544804
14.0,13.315022339370689,3.0,75,2540.833140544804
15.0,14.388419553964559,3.0,75,2540.833140544804
16.0,15.657336468076844,3.0,75,2540.833140544804
17.0,17.118786146742107,4.0,75,2539.833140544804
18.0,18.75151592130611,4.0,75,2539.833140544804
19.0,20.4267416208246,4.0,75,2539.833140544804
20.0,21.846701876863683,5.0,75,2538.833140544804
21.0,23.359862791900298,5.0,75,2538.833140544804
22.0,24.748842336856374,5.0,75,2538.833140544804
23.0,26.230201753078,5.0,75,2538.833140544804
24.0,27.649178243559327,5.0,75,2538.833140544804
25.0,28.891608711188425,7.0,75,2536.833140544804
26.0,30.40537030019398,7.0,75,2536.833140544804
27.0,32.11353469722992,7.0,75,2536.833140544804
28.0,33.96619855927147,8.0,75,2535.833140544804
29.0,35.91416818185829,8.0,75,2535.833140544804
30.0,37.87018305189694,9.0,75,2534.833140544804
31.0,39.82266784758539,10.0,75,2533.833140544804
32.0,41.771640219295406,10.0,75,2533.833140544804
33.0,43.71711772914687,10.0,75,2533.833140544804
34.0,45.659117851449075,12.0,75,2531.833140544804
35.0,47.59765797313977,12.0,75,2531.833140544804
36.0,49.53275539422201,12.0,75,2531.833140544804
37.0,51.46442732819884,13.0,75,2530.833140544804
38.0,53.392690902505784,13.0,75,2530.833140544804
39.0,55.3175631589412,14.0,75,2529.833140544804
40.0,57.23906105409443,14.0,75,2529.833140544804
41.0,59.1572014597719,15.0,75,2528.833140544804
42.0,61.07200116342098,15.0,75,2528.833140544804
43.0,62.98347686855181,16.0,75,2527.833140544804
44.0,64.891645195157,17.0,75,2526.833140544804
45.0,66.79652268012914,17.0,75,2526.833140544804
46.0,68.69812577767644,17.0,75,2526.833140544804
47.0,70.596470859736,18.0,75,2525.833140544804
48.0,72.49157421638526,19.0,75,2524.833140544804
49.0,74.38345205625127,19.0,75,2524.833140544804
50.0,76.27212050691796,19.0,75,2524.833140544804
51.0,78.15759561533132,20.0,75,2523.833140544804
52.0,80.0398933482026,20.0,75,2523.833140544804
53.0,81.91902959240953,21.0,75,2522.833140544804
54.0,83.79502015539542,22.0,75,2521.833140544804
55.0,85.66788076556638,22.0,75,2521.833140544804
56.0,87.53762707268649,22.0,75,2521.833140544804
57.0,89.404274648271,22.0,75,2521.833140544804
58.0,91.26783898597759,24.0,75,2519.833140544804
59.0,93.12833550199564,24.0,75,2519.833140544804
60.0,94.98577953543361,24.0,75,2519.833140544804
61.0,96.84018634870438,24.0,75,2519.833140544804
62.0,98.6915711279088,25.0,75,2518.833140544804
63.0,100.53994898321719,26.0,75,2517.833140544804
64.0,102.38533494924904,26.0,75,2517.833140544804
65.0,104.22774398545074,27.0,75,2516.833140544804
66.0,106.06719097647142,27.0,75,2516.833140544804
67.0,107.90369073253702,27.0,75,2516.833140544804
68.0,109.73725798982227,28.0,75,2515.833140544804
69.0,111.56760561524709,29.0,75,2514.833140544804
70.0,113.39380150254478,29.0,75,2514.833140544804
71.0,115.215866410406,29.0,75,2514.833140544804
72.0,117.03382099372789,29.0,75,2514.833140544804
73.0,118.84768580413318,30.0,75,2513.833140544804
74.0,120.65748129048644,31.0,75,2512.833140544804
75.0,122.46322779940795,31.0,75,2512.833140544804
76.0,124.26494557578484,31.0,75,2512.833140544804
77.0,126.06265476327984,32.0,75,2511.833140544804
78.0,127.85637540483738,32.0,75,2511.833140544804
79.0,129.6461274431871,33.0,75,2510.833140544804
80.0,131.4319307213451,33.0,75,2510.833140544804
81.0,133.2138049831123,34.0,75,2509.833140544804
82.0,134.9917698735707,34.0,75,2509.833140544804
83.0,136.76584493957677,34.0,75,2509.833140544804
84.0,138.53604963025282,34.0,75,2509.833140544804
85.0,140.30240329747548,36.0,75,2507.833140544804
86.0,142.06492519636205,36.0,75,2507.833140544804
87.0,143.82363448575416,36.0,75,2507.833140544804
88.0,145.57855022869933,36.0,75,2507.833140544804
89.0,147.32969139292976,37.0,75,2506.833140544804
90.0,149.07707685133906,37.0,75,2506.833140544804
91.0,150.8207253824563,38.0,75,2505.833140544804
92.0,152.56065567091795,38.0,75,2505.833140544804
93.0,154.29688630793729,39.0,75,2504.833140544804
94.0,156.02943579177153,39.0,75,2504.833140544804
95.0,157.7583225281866,39.0,75,2504.833140544804
96.0,159.48356483091962,39.0,75,2504.833140544804
97.0,161.20518092213894,40.0,75,2503.833140544804
98.0,162.92318893290218,41.0,75,2502.833140544804
99.0,164.6376069036116,41.0,75,2502.833140544804
100.0,166.34845278446747,41.0,75,2502.833140544804
101.0,168.05574443591908,41.0,75,2502.833140544804
102.0,169.7594996291134,42.0,75,2501.833140544804
103.0,171.4597360463418,43.0,75,2500.833140544804
104.0,173.156471281484,43.0,75,2500.833140544804
105.0,174.8497228404505,43.0,75,2500.833140544804
106.0,176.53950814162218,43.0,75,2500.833140544804
107.0,178.22584451628802,44.0,75,2499.833140544804
