time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,0.0,75,2383.51447948385
2.0,1.0019332787800905,2.0,75,2381.51447948385
3.0,1.6647875119330966,3.0,75,2380.51447948385
4.0,2.5595405926085038,4.0,75,2379.51447948385
5.0,3.8406396457385106,5.0,75,2378.51447948385
6.0,5.325190798975214,7.0,75,2376.51447948385
7.0,6.949975179624062,9.0,75,2374.51447948385
8.0,8.725828903804313,11.0,75,2372.51447948385
9.0,10.591882510581875,13.0,75,2370.51447948385
10.0,12.548099567742758,15.0,75,2368.51447948385
11.0,14.587252312854226,17.0,75,2366.51447948385
12.0,16.673971238728726,19.0,75,2364.51447948385
13.0,18.77383067984993,21.0,75,2362.51447948385
14.0,20.87319082376553,23.0,75,2360.51447948385
15.0,22.97205416696155,25.0,75,2358.51447948385
16.0,25.070423193441588,27.0,75,2356.51447948385
17.0,27.16830037478923,29.0,75,2354.51447948385
18.0,29.265688170230128,31.0,74,2352.51447948385
19.0,31.40695739872354,32.0,74,2351.51447948385
20.0,33.527569603107466,33.0,74,2350.51447948385
21.0,35.65938059590357,34.0,74,2349.51447948385
22.0,37.82509682386503,35.0,74,2348.51447948385
23.0,40.033302477394344,36.0,74,2347.51447948385
24.0,42.27630582998231,37.0,74,2346.51447948385
25.0,44.518094165807334,38.0,74,2345.51447948385
26.0,46.75867355995323,39.0,74,2344.51447948385
27.0,48.998050057128395,40.0,74,2343.51447948385
28.0,51.23622967181769,41.0,74,2342.51447948385
29.0,53.47321838843354,42.0,74,2341.51447948385
30.0,55.7090221614663,43.0,74,2340.51447948385
31.0,57.943646915633906,44.0,74,2339.51447948385
32.0,60.17709854603066,45.0,74,2338.51447948385
33.0,62.40938291827545,46.0,74,2337.51447948385
34.0,64.640505868659,47.0,74,2336.51447948385
35.0,66.87047320429063,48.0,74,2335.51447948385
36.0,69.09929070324412,49.0,74,2334.51447948385
37.0,71.32696411470283,50.0,74,2333.51447948385
38.0,73.55349915910425,51.0,74,2332.51447948385
39.0,75.77890152828365,52.0,74,2331.51447948385
40.0,78.00317688561718,53.0,74,2330.51447948385
41.0,80.22633086616402,54.0,74,2329.51447948385
42.0,82.44836907680813,55.0,74,2328.51447948385
43.0,84.66929709639903,56.0,74,2327.51447948385
44.0,86.88912047589197,57.0,74,2326.51447948385
45.0,89.10784473848744,58.0,74,2325.51447948385
46.0,91.32547537976994,59.0,74,2324.51447948385
47.0,93.54201786784601,60.0,74,2323.51447948385
48.0,95.75747764348172,61.0,74,2322.51447948385
49.0,97.97186012023924,62.0,74,2321.51447948385
50.0,100.18475827040093,63.0,74,2320.51447948385
51.0,102.39534192981182,64.0,74,2319.51447948385
52.0,104.60362267092565,65.0,73,2318.51447948385
53.0,106.82850336600644,65.0,73,2318.51447948385
54.0,109.07175149182113,65.0,73,2318.51447948385
55.0,111.35192554853893,65.0,73,2318.51447948385
56.0,113.67502519426866,65.0,73,2318.51447948385
57.0,116.04330075966661,65.0,73,2318.51447948385
58.0,118.44591435840233,65.0,73,2318.51447948385
59.0,120.84651488914439,65.0,73,2318.51447948385
60.0,123.24511241723272,65.0,73,2318.51447948385
61.0,125.64171695768061,65.0,73,2318.51447948385
62.0,128.03633847542628,65.0,73,2318.51447948385
63.0,130.42898688558319,65.0,73,2318.51447948385
64.0,132.81967205368935,65.0,73,2318.51447948385
65.0,135.20840379595495,65.0,73,2318.51447948385
66.0,137.59519187950923,65.0,73,2318.51447948385
67.0,139.98004602264575,65.0,73,2318.51447948385
68.0,142.36297589506657,65.0,73,2318.51447948385
69.0,144.74399111812528,65.0,73,2318.51447948385
70.0,147.1223279330861,65.0,73,2318.51447948385
71.0,149.4975230639721,65.0,73,2318.51447948385
72.0,151.86959221920364,65.0,73,2318.51447948385
73.0,154.23855102865906,65.0,73,2318.51447948385
74.0,156.60441504406717,65.0,73,2318.51447948385
75.0,158.7970085188274,65.0,73,2318.51447948385
76.0,160.82737062539817,65.0,73,2318.51447948385
77.0,162.9082474340879,65.0,73,2318.51447948385
78.0,165.06547421037575,65.0,73,2318.51447948385
79.0,167.31204382486413,65.0,73,2318.51447948385
80.0,169.6120605631052,65.0,73,2318.51447948385
81.0,171.95823787716532,65.0,73,2318.51447948385
82.0,174.3057731206759,65.0,73,2318.51447948385
83.0,176.6503206879689,65.0,73,2318.51447948385
84.0,178.99189551742546,65.0,73,2318.51447948385
85.0,181.3305124727347,65.0,73,2318.51447948385
86.0,183.66618634326744,65.0,73,2318.51447948385
87.0,185.9989318444475,65.0,73,2318.51447948385
88.0,188.32876361812166,65.0,73,2318.51447948385
89.0,190.65569623292743,65.0,73,2318.51447948385
90.0,192.97974418465918,65.0,73,2318.51447948385
91.0,195.3009218966323,65.0,73,2318.51447948385
92.0,197.61924372004552,65.0,73,2318.51447948385
93.0,199.9347239343417,65.0,73,2318.51447948385
94.0,202.24737674756636,65.0,73,2318.51447948385
95.0,204.55721629672493,65.0,73,2318.51447948385
96.0,206.8642566481377,65.0,73,2318.51447948385
97.0,209.1685117977934,65.0,73,2318.51447948385
98.0,211.46999567170084,65.0,73,2318.51447948385
99.0,213.7687221262387,65.0,73,2318.51447948385
100.0,216.06470494850393,65.0,73,2318.51447948385
101.0,218.3579578566578,65.0,73,2318.51447948385
102.0,220.64849450027089,65.0,73,2318.51447948385
103.0,222.93632846066595,65.0,73,2318.51447948385
104.0,225.221473251259,65.0,73,2318.51447948385
105.0,227.5039423178991,65.0,73,2318.51447948385
106.0,229.783749039206,65.0,73,2318.51447948385
107.0,232.06090672690635,65.0,73,2318.51447948385
108.0,234.3354286261682,65.0,73,2318.51447948385
109.0,236.60732791593375,65.0,73,2318.51447948385
110.0,238.87661770925047,65.0,73,2318.51447948385
111.0,241.14331105360063,65.0,73,2318.51447948385
112.0,243.407420931229,66.0,73,2317.51447948385
113.0,245.66896025946926,66.0,73,2317.51447948385
114.0,247.9279418910683,67.0,73,2316.51447948385
115.0,250.18437861450934,67.0,73,2316.51447948385
116.0,252.4382831543332,67.0,73,2316.51447948385
117.0,254.68966817145792,68.0,73,2315.51447948385
118.0,256.938546263497,68.0,73,2315.51447948385
119.0,259.1849299650759,68.0,73,2315.51447948385
120.0,261.42883174814693,69.0,73,2314.51447948385
121.0,263.6702640223026,69.0,73,2314.51447948385
122.0,265.90923913508743,70.0,73,2313.51447948385
123.0,268.1457693723084,70.0,73,2313.51447948385
124.0,270.37986695834326,70.0,73,2313.51447948385
125.0,272.61154405644794,71.0,73,2312.51447948385
126.0,274.8408127690621,71.0,73,2312.51447948385
127.0,277.0676851381132,71.0,73,2312.51447948385
128.0,279.292173145319,72.0,73,2311.51447948385
129.0,281.5142887124888,72.0,73,2311.51447948385
130.0,283.73404370182277,72.0,73,2311.51447948385
131.0,285.95144991621004,73.0,73,2310.51447948385
132.0,288.1665190995254,73.0,73,2310.51447948385
133.0,290.37926293692414,73.0,73,2310.51447948385
134.0,292.5896930551359,74.0,73,2309.51447948385
135.0,294.7978210227566,74.0,73,2309.51447948385
136.0,297.00365835053924,74.0,73,2309.51447948385
137.0,299.2072164916829,75.0,73,2308.51447948385
138.0,301.4085068421209,75.0,73,2308.51447948385
139.0,303.60754074080666,75.0,73,2308.51447948385
140.0,305.80432946999906,76.0,73,2307.51447948385
141.0,307.9988842555454,76.0,73,2307.51447948385
142.0,310.19121626716407,76.0,73,2307.51447948385
143.0,312.3813366187247,77.0,73,2306.51447948385
144.0,314.5692563685274,77.0,73,2306.51447948385
145.0,316.75498651958117,77.0,73,2306.51447948385
146.0,318.9385380198797,78.0,73,2305.51447948385
147.0,321.11992176267665,78.0,73,2305.51447948385
148.0,323.29914858675966,78.0,73,2305.51447948385
149.0,325.4762292767223,78.0,73,2305.51447948385
150.0,327.65117456323503,79.0,73,2304.51447948385
151.0,329.8239951233153,79.0,73,2304.51447948385
152.0,331.99470158059506,79.0,73,2304.51447948385
153.0,334.1633045055885,80.0,73,2303.51447948385
154.0,336.32981441595695,80.0,73,2303.51447948385
155.0,338.49424177677355,80.0,73,2303.51447948385
156.0,340.6565970007861,81.0,73,2302.51447948385
157.0,342.8168904486786,81.0,73,2302.51447948385
158.0,344.97513242933155,81.0,73,2302.51447948385
159.0,347.1313332000813,82.0,73,2301.51447948385
160.0,349.2855029669773,82.0,73,2301.51447948385
161.0,351.4376518850388,82.0,73,2301.51447948385
162.0,353.58779005851,82.0,73,2301.51447948385
163.0,355.7359275411138,84.0,73,2299.51447948385
164.0,357.88207433630464,84.0,73,2299.51447948385
165.0,360.02624039751953,84.0,73,2299.51447948385
166.0,362.1684356284283,86.0,73,2297.51447948385
167.0,364.3086698831826,86.0,73,2297.51447948385
168.0,366.44695296666305,87.0,73,2296.51447948385
169.0,368.58329463472614,87.0,73,2296.51447948385
170.0,370.7177045944489,88.0,73,2295.51447948385
171.0,372.850192504373,89.0,73,2294.51447948385
172.0,374.98076797474755,89.0,73,2294.51447948385
173.0,377.1094405677702,91.0,73,2292.51447948385
174.0,379.2350134569527,91.0,73,2292.51447948385
175.0,381.35745848168926,92.0,73,2291.51447948385
176.0,383.47679128130216,92.0,73,2291.51447948385
177.0,385.593027416917,93.0,73,2290.51447948385
178.0,387.70618237185374,94.0,73,2289.51447948385
179.0,389.8162715520158,94.0,73,2289.51447948385
180.0,391.92331028627706,95.0,73,2288.51447948385
181.0,394.027313826867,96.0,73,2287.51447948385
182.0,396.128297349754,96.0,73,2287.51447948385
183.0,398.2262759550266,97.0,73,2286.51447948385
184.0,400.32126466727277,97.0,73,2286.51447948385
185.0,402.41327843595775,98.0,73,2285.51447948385
186.0,404.5023321357993,99.0,73,2284.51447948385
187.0,406.5884405671417,99.0,73,2284.51447948385
188.0,408.6716184563273,100.0,73,2283.51447948385
189.0,410.751880456067,101.0,73,2282.51447948385
190.0,412.829241145808,101.0,73,2282.51447948385
191.0,414.9037150321003,102.0,73,2281.51447948385
192.0,416.97531654896113,102.0,73,2281.51447948385
193.0,419.0440600582377,104.0,73,2279.51447948385
194.0,421.1099598499678,104.0,73,2279.51447948385
195.0,423.1730301427393,104.0,73,2279.51447948385
196.0,425.23328508404694,105.0,73,2278.51447948385
197.0,427.2907387506481,106.0,73,2277.51447948385
198.0,429.34540514891614,106.0,73,2277.51447948385
199.0,431.3972982151929,107.0,73,2276.51447948385
200.0,433.44643181613833,107.0,73,2276.51447948385
201.0,435.49281974907893,108.0,73,2275.51447948385
202.0,437.5364757423549,109.0,73,2274.51447948385
203.0,439.57741345566444,109.0,73,2274.51447948385
204.0,441.61564648040746,109.0,73,2274.51447948385
205.0,443.65118834002675,111.0,73,2272.51447948385
206.0,445.684052490348,111.0,73,2272.51447948385
207.0,447.7142523199176,112.0,73,2271.51447948385
208.0,449.7418011503393,112.0,73,2271.51447948385
209.0,451.76671223660895,113.0,73,2270.51447948385
210.0,453.78899876744725,114.0,73,2269.51447948385
211.0,455.80867386563136,114.0,73,2269.51447948385
212.0,457.8257505883245,115.0,73,2268.51447948385
213.0,459.84024192740424,116.0,73,2267.51447948385
214.0,461.8521608097886,117.0,73,2266.51447948385
215.0,463.86152009776094,118.0,73,2265.51447948385
216.0,465.8683325892935,119.0,73,2264.51447948385
217.0,467.8726110183684,119.0,73,2264.51447948385
218.0,469.87436805529785,121.0,73,2262.51447948385
219.0,471.8736163070427,122.0,73,2261.51447948385
220.0,473.87036831752886,123.0,73,2260.51447948385
221.0,475.8646365679625,123.0,73,2260.51447948385
222.0,477.8564334771441,124.0,73,2259.51447948385
223.0,479.8457714017797,126.0,73,2257.51447948385
224.0,481.831957918752,126.0,73,2257.51447948385
225.0,483.8144635031394,126.0,73,2257.51447948385
226.0,485.79330655960484,128.0,73,2255.51447948385
227.0,487.768505400788,129.0,73,2254.51447948385
228.0,489.74007824776527,129.0,73,2254.51447948385
229.0,491.7080432305076,131.0,73,2252.51447948385
230.0,493.67241838833627,131.0,73,2252.51447948385
231.0,495.63322167037575,131.0,73,2252.51447948385
232.0,497.59047093600503,134.0,73,2249.51447948385
233.0,499.5441839553062,134.0,73,2249.51447948385
234.0,501.49437840951083,134.0,73,2249.51447948385
235.0,503.4410718914445,136.0,73,2247.51447948385
236.0,505.3842819059684,136.0,73,2247.51447948385
237.0,507.32402587041975,137.0,73,2246.51447948385
238.0,509.26032111504884,138.0,73,2245.51447948385
239.0,511.19318488345476,139.0,73,2244.51447948385
240.0,513.1226343330187,139.0,73,2244.51447948385
241.0,515.0486865353347,140.0,73,2243.51447948385
242.0,516.9713584766392,142.0,73,2241.51447948385
243.0,518.8906670582372,142.0,73,2241.51447948385
244.0,520.8066290969272,143.0,73,2240.51447948385
245.0,522.7192613254238,143.0,73,2240.51447948385
246.0,524.6285803927778,144.0,73,2239.51447948385
247.0,526.534602864795,146.0,73,2237.51447948385
248.0,528.4373452244523,146.0,73,2237.51447948385
249.0,530.3368238723112,147.0,73,2236.51447948385
250.0,532.2330551269308,147.0,73,2236.51447948385
251.0,534.1260552252774,148.0,73,2235.51447948385
252.0,536.0158403231321,148.0,73,2235.51447948385
253.0,537.9024264954976,150.0,73,2233.51447948385
254.0,539.7858297370013,151.0,73,2232.51447948385
255.0,541.6660659622976,151.0,73,2232.51447948385
256.0,543.5431510064673,152.0,73,2231.51447948385
257.0,545.4171006254161,153.0,73,2230.51447948385
258.0,547.2879304962702,154.0,73,2229.51447948385
259.0,549.15565621777,154.0,73,2229.51447948385
260.0,551.0202933106623,156.0,73,2227.51447948385
261.0,552.8818572180902,156.0,73,2227.51447948385
262.0,554.740363305981,156.0,73,2227.51447948385
263.0,556.5958268634322,156.0,73,2227.51447948385
264.0,558.4482631030962,159.0,73,2224.51447948385
265.0,560.2976871615618,159.0,73,2224.51447948385
266.0,562.1441140997352,159.0,73,2224.51447948385
267.0,563.9875589032177,160.0,73,2223.51447948385
268.0,565.8280364826828,161.0,73,2222.51447948385
269.0,567.6655616742506,161.0,73,2222.51447948385
270.0,569.5001492398605,162.0,73,2221.51447948385
271.0,571.3318138676424,163.0,73,2220.51447948385
272.0,573.1605701722854,164.0,73,2219.51447948385
273.0,574.9864326954051,164.0,73,2219.51447948385
274.0,576.8094159059093,164.0,73,2219.51447948385
275.0,578.6295342003609,165.0,73,2218.51447948385
276.0,580.4468019033403,167.0,73,2216.51447948385
277.0,582.2612332678048,167.0,73,2216.51447948385
278.0,584.0728424754469,168.0,73,2215.51447948385
279.0,585.8816436370508,168.0,73,2215.51447948385
280.0,587.6876507928467,169.0,73,2214.51447948385
281.0,589.4908779128638,169.0,73,2214.51447948385
282.0,591.2913388972805,171.0,73,2212.51447948385
283.0,593.0890475767753,171.0,73,2212.51447948385
284.0,594.8837417823906,172.0,73,2211.51447948385
285.0,596.6744625169779,172.0,73,2211.51447948385
286.0,598.4612296478921,173.0,73,2210.51447948385
287.0,600.2440629431518,173.0,73,2210.51447948385
288.0,602.0229820719352,175.0,72,2208.51447948385
289.0,603.8044571460647,175.0,72,2208.51447948385
290.0,605.53414956969,176.0,72,2207.51447948385
291.0,607.2904720979203,176.0,72,2207.51447948385
292.0,609.0915245537393,176.0,72,2207.51447948385
293.0,610.9374123601816,177.0,72,2206.51447948385
294.0,612.8272171809399,178.0,72,2205.51447948385
295.0,614.7609960859016,178.0,72,2205.51447948385
296.0,616.6965066444634,178.0,72,2205.51447948385
297.0,618.6260896502324,179.0,72,2204.51447948385
298.0,620.5497747409725,180.0,72,2203.51447948385
299.0,622.4675914062589,180.0,72,2203.51447948385
300.0,624.3795689882188,180.0,72,2203.51447948385
301.0,626.285736682269,180.0,72,2203.51447948385
302.0,628.186123537849,182.0,72,2201.51447948385
303.0,630.080758459151,182.0,72,2201.51447948385
304.0,631.9696702058465,182.0,72,2201.51447948385
305.0,633.8528873938085,182.0,72,2201.51447948385
306.0,635.7304384958308,183.0,72,2200.51447948385
