time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,0.0,75,2699.143126479016
2.0,1.2201268348984409,0.0,75,2699.143126479016
3.0,2.2439244541841714,0.0,75,2699.143126479016
4.0,3.585872102843645,0.0,75,2699.143126479016
5.0,5.231610628865179,0.0,75,2699.143126479016
6.0,7.13443623771887,0.0,75,2699.143126479016
7.0,9.186373808634073,0.0,75,2699.143126479016
8.0,11.322492233077895,0.0,75,2699.143126479016
9.0,13.454180065399498,0.0,75,2699.143126479016
10.0,15.581459458559493,0.0,75,2699.143126479016
11.0,17.70435245475369,0.0,75,2699.143126479016
12.0,19.822880985966915,0.0,75,2699.143126479016
13.0,21.937066874524074,0.0,75,2699.143126479016
14.0,24.046931833638446,0.0,75,2699.143126479016
15.0,26.15249746795725,0.0,75,2699.143126479016
16.0,28.253785274104455,0.0,75,2699.143126479016
17.0,30.35081664122093,0.0,75,2699.143126479016
18.0,32.44361285150182,0.0,75,2699.143126479016
19.0,34.5321950807313,0.0,75,2699.143126479016
20.0,36.61658439881464,0.0,75,2699.143126479016
21.0,38.69680177030756,1.0,75,2698.143126479016
22.0,40.77286805494302,1.0,75,2698.143126479016
23.0,42.84480400815529,1.0,75,2698.143126479016
24.0,44.912630281601515,2.0,75,2697.143126479016
25.0,46.9763674236805,3.0,75,2696.143126479016
26.0,49.03603588004909,3.0,75,2696.143126479016
27.0,51.09107439965438,5.0,75,2694.143126479016
28.0,53.140837726661644,5.0,75,2694.143126479016
29.0,55.185352237033875,6.0,75,2693.143126479016
30.0,57.22464417485425,8.0,75,2691.143126479016
31.0,59.25873965298551,9.0,75,2690.143126479016
32.0,61.287664653726125,9.0,75,2690.143126479016
33.0,63.31144502946303,12.0,75,2687.143126479016
34.0,65.33010650332125,12.0,75,2687.143126479016
35.0,67.34367466981018,14.0,75,2685.143126479016
36.0,69.35217499546667,15.0,75,2684.143126479016
37.0,71.35563281949487,15.0,75,2684.143126479016
38.0,73.35407335440294,17.0,75,2682.143126479016
39.0,75.34752168663645,17.0,75,2682.143126479016
40.0,77.33600277720882,19.0,75,2680.143126479016
41.0,79.3195414623283,20.0,75,2679.143126479016
42.0,81.2981624540222,21.0,75,2678.143126479016
43.0,83.27189034075764,22.0,75,2677.143126479016
44.0,85.24074958805939,23.0,75,2676.143126479016
45.0,87.20476453912462,24.0,75,2675.143126479016
46.0,89.16395941543453,26.0,75,2673.143126479016
47.0,91.1183583173629,27.0,75,2672.143126479016
48.0,93.06798522478162,27.0,75,2672.143126479016
49.0,95.01286399766326,29.0,75,2670.143126479016
50.0,96.95301837668048,30.0,75,2669.143126479016
51.0,98.88847198380262,30.0,75,2669.143126479016
52.0,100.81924832288914,32.0,75,2667.143126479016
53.0,102.74537078028023,33.0,75,2666.143126479016
54.0,104.66686262538437,33.0,75,2666.143126479016
55.0,106.58374701126297,35.0,75,2664.143126479016
56.0,108.4960469752122,36.0,75,2663.143126479016
57.0,110.40378543934168,37.0,75,2662.143126479016
58.0,112.3069852111505,38.0,75,2661.143126479016
59.0,114.20566898410029,38.0,75,2661.143126479016
60.0,116.09985933818533,40.0,75,2659.143126479016
61.0,117.98957874049994,41.0,75,2658.143126479016
62.0,119.87484954580297,42.0,75,2657.143126479016
