time,agents_total_distance_moved,agents_total_task_amount_done,remaining_tasks,tasks_total_amount_left
1.0,0.5,0.0,100,3474.224556946426
2.0,1.1321656707763912,0.0,100,3474.224556946426
3.0,1.9761840902317724,0.0,100,3474.224556946426
4.0,2.933280055416895,0.0,100,3474.224556946426
5.0,4.07467797309438,0.0,100,3474.224556946426
6.0,4.950270851136783,0.0,100,3474.224556946426
7.0,6.0228823784227155,0.0,100,3474.224556946426
8.0,7.011726572430478,0.0,100,3474.224556946426
9.0,8.068977567366808,0.0,100,3474.224556946426
10.0,9.050889473588642,0.0,100,3474.224556946426
11.0,10.184858075349345,0.0,100,3474.224556946426
12.0,11.243265772846714,0.0,100,3474.224556946426
13.0,12.33832727162361,0.0,100,3474.224556946426
14.0,13.3056721993447,0.0,100,3474.224556946426
15.0,14.626653057106578,0.0,100,3474.224556946426
16.0,16.09803352137527,0.0,100,3474.224556946426
17.0,17.549470797473084,0.0,100,3474.224556946426
18.0,18.697991615774235,0.0,100,3474.224556946426
19.0,19.954385445556337,0.0,100,3474.224556946426
20.0,21.572723294700477,0.0,100,3474.224556946426
21.0,23.51635359145262,0.0,100,3474.224556946426
22.0,25.66561218835367,0.0,100,3474.224556946426
23.0,27.928855839234707,0.0,100,3474.224556946426
24.0,30.2392832022885,0.0,100,3474.224556946426
25.0,32.546908428527026,0.0,100,3474.224556946426
26.0,34.85174552863436,0.0,100,3474.224556946426
27.0,37.153808443241154,0.0,100,3474.224556946426
28.0,39.453111043274916,0.0,100,3474.224556946426
29.0,41.74966713030851,0.0,100,3474.224556946426
30.0,44.043490436906936,0.0,100,3474.224556946426
31.0,46.33459462697237,0.0,100,3474.224556946426
32.0,48.62299329608748,0.0,100,3474.224556946426
33.0,50.90869997185701,0.0,100,3474.224556946426
34.0,53.191728114247695,0.0,100,3474.224556946426
35.0,55.472091115926425,0.0,100,3474.224556946426
36.0,57.749802302596756,0.0,100,3474.224556946426
37.0,60.02487493333374,0.0,100,3474.224556946426
38.0,62.297322200917044,1.0,100,3473.224556946426
39.0,64.56715723216243,1.0,100,3473.224556946426
40.0,66.83439308825159,2.0,100,3472.224556946426
41.0,69.09904276506029,2.0,100,3472.224556946426
42.0,71.36111919348497,3.0,100,3471.224556946426
43.0,73.62063523976751,3.0,100,3471.224556946426
44.0,75.87760370581864,3.0,100,3471.224556946426
45.0,78.13203732953951,4.0,100,3470.224556946426
46.0,80.38394878514178,4.0,100,3470.224556946426
47.0,82.63335068346605,5.0,100,3469.224556946426
48.0,84.88025557229868,5.0,100,3469.224556946426
49.0,87.12467593668715,6.0,100,3468.224556946426
50.0,89.36662419925369,6.0,100,3468.224556946426
51.0,91.6061127205074,6.0,100,3468.224556946426
52.0,93.84315379915482,7.0,100,3467.224556946426
53.0,96.07775967240902,7.0,100,3467.224556946426
54.0,98.30994251629694,8.0,100,3466.224556946426
55.0,100.53971444596543,8.0,100,3466.224556946426
56.0,102.76708751598557,8.0,100,3466.224556946426
57.0,104.99207372065561,9.0,100,3465.224556946426
58.0,107.21468499430229,9.0,100,3465.224556946426
59.0,109.43493321158076,10.0,100,3464.224556946426
60.0,111.6528301877728,10.0,100,3464.224556946426
61.0,113.86838767908391,10.0,100,3464.224556946426
62.0,116.08161738293846,11.0,100,3463.224556946426
63.0,118.29253093827374,11.0,100,3463.224556946426
64.0,120.50113992583233,11.0,100,3463.224556946426
65.0,122.70745586845314,12.0,100,3462.224556946426
66.0,124.91149023136084,12.0,100,3462.224556946426
67.0,127.113254422454,13.0,100,3461.224556946426
68.0,129.31275979259172,13.0,100,3461.224556946426
69.0,131.5100176358787,13.0,100,3461.224556946426
70.0,133.70503918994928,14.0,100,3460.224556946426
71.0,135.8978356362495,14.0,100,3460.224556946426
72.0,138.08841810031822,14.0,100,3460.224556946426
73.0,140.27679765206662,15.0,100,3459.224556946426
74.0,142.46298530605625,15.0,100,3459.224556946426
75.0,144.64699202177593,15.0,100,3459.224556946426
76.0,146.82882870391703,16.0,100,3458.224556946426
77.0,149.0085062026474,16.0,100,3458.224556946426
78.0,151.18603531388413,17.0,100,3457.224556946426
79.0,153.36142677956468,17.0,100,3457.224556946426
80.0,155.53469128791681,17.0,100,3457.224556946426
81.0,157.70583947372722,19.0,100,3455.224556946426
82.0,159.87488191860854,19.0,100,3455.224556946426
83.0,162.04182915126546,19.0,100,3455.224556946426
84.0,164.2066916477591,21.0,100,3453.224556946426
85.0,166.36947983177026,21.0,100,3453.224556946426
86.0,168.5302040748614,22.0,100,3452.224556946426
87.0,170.68887469673706,23.0,100,3451.224556946426
88.0,172.84550196550333,24.0,100,3450.224556946426
89.0,175.0000960979258,24.0,100,3450.224556946426
90.0,177.15266725968613,25.0,100,3449.224556946426
91.0,179.30322556563766,26.0,100,3448.224556946426
92.0,181.45178108005945,26.0,100,3448.224556946426
93.0,183.5983438169091,28.0,100,3446.224556946426
94.0,185.74292374007453,28.0,100,3446.224556946426
95.0,187.88553076362413,28.0,100,3446.224556946426
96.0,190.02617475205597,30.0,100,3444.224556946426
97.0,192.16486552054565,30.0,100,3444.224556946426
98.0,194.30161283519288,31.0,100,3443.224556946426
99.0,196.4364264132669,32.0,100,3442.224556946426
100.0,198.56931592345052,32.0,100,3442.224556946426
101.0,200.69919600209792,33.0,100,3441.224556946426
102.0,202.8259266803521,34.0,100,3440.224556946426
103.0,204.94952370521497,34.0,100,3440.224556946426
104.0,207.07000274495354,35.0,100,3439.224556946426
105.0,209.18737938949343,35.0,100,3439.224556946426
106.0,211.3016691508106,37.0,100,3437.224556946426
107.0,213.4128874633212,37.0,100,3437.224556946426
108.0,215.52104968426926,37.0,100,3437.224556946426
109.0,217.62617109411255,39.0,100,3435.224556946426
110.0,219.72826689690663,39.0,100,3435.224556946426
111.0,221.82735222068675,39.0,100,3435.224556946426
112.0,223.92344211784797,41.0,100,3433.224556946426
113.0,226.01655156552337,41.0,100,3433.224556946426
114.0,228.1066954659604,42.0,100,3432.224556946426
115.0,230.19388864689526,42.0,100,3432.224556946426
116.0,232.27814586192542,43.0,100,3431.224556946426
117.0,234.35948179088044,44.0,100,3430.224556946426
118.0,236.4379110401907,44.0,100,3430.224556946426
119.0,238.51344814325438,45.0,100,3429.224556946426
120.0,240.58610756080276,46.0,100,3428.224556946426
121.0,242.6559036812634,46.0,100,3428.224556946426
122.0,244.72285082112174,47.0,100,3427.224556946426
123.0,246.78696322528077,48.0,100,3426.224556946426
124.0,248.84825506741902,48.0,100,3426.224556946426
125.0,250.90674045034658,48.0,100,3426.224556946426
126.0,252.96243340635948,50.0,100,3424.224556946426
127.0,255.01534789759233,50.0,100,3424.224556946426
128.0,257.06549781636903,50.0,100,3424.224556946426
129.0,259.1128969855518,51.0,100,3423.224556946426
130.0,261.1575591588887,52.0,100,3422.224556946426
131.0,263.1994980213589,52.0,100,3422.224556946426
132.0,265.23872718951674,53.0,100,3421.224556946426
133.0,267.2752602118338,54.0,100,3420.224556946426
134.0,269.3091105690393,54.0,100,3420.224556946426
135.0,271.34029167445874,55.0,100,3419.224556946426
136.0,273.3688168743511,55.0,100,3419.224556946426
137.0,275.394699448244,56.0,100,3418.224556946426
138.0,277.41795260926745,57.0,100,3417.224556946426
139.0,279.4385895044857,57.0,100,3417.224556946426
140.0,281.456623215228,57.0,100,3417.224556946426
141.0,283.4720667574165,59.0,100,3415.224556946426
142.0,285.48493308189404,59.0,100,3415.224556946426
143.0,287.4952350747492,59.0,100,3415.224556946426
144.0,289.5029855576401,60.0,100,3414.224556946426
145.0,291.50819728811655,61.0,100,3413.224556946426
146.0,293.5108829599406,61.0,100,3413.224556946426
